"","date","region","country","cases"
"504","2020-01-15","Northern Africa","Egypt",0
"505","2020-01-16","Northern Africa","Egypt",0
"506","2020-01-17","Northern Africa","Egypt",0
"507","2020-01-18","Northern Africa","Egypt",0
"508","2020-01-19","Northern Africa","Egypt",0
"509","2020-01-20","Northern Africa","Egypt",0
"510","2020-01-21","Northern Africa","Egypt",0
"511","2020-01-22","Northern Africa","Egypt",0
"512","2020-01-23","Northern Africa","Egypt",0
"513","2020-01-24","Northern Africa","Egypt",0
"514","2020-01-25","Northern Africa","Egypt",0
"515","2020-01-26","Northern Africa","Egypt",0
"516","2020-01-27","Northern Africa","Egypt",0
"517","2020-01-28","Northern Africa","Egypt",0
"518","2020-01-29","Northern Africa","Egypt",0
"519","2020-01-30","Northern Africa","Egypt",0
"520","2020-01-31","Northern Africa","Egypt",0
"521","2020-02-01","Northern Africa","Egypt",0
"522","2020-02-02","Northern Africa","Egypt",0
"523","2020-02-03","Northern Africa","Egypt",0
"524","2020-02-04","Northern Africa","Egypt",0
"525","2020-02-05","Northern Africa","Egypt",0
"526","2020-02-06","Northern Africa","Egypt",0
"527","2020-02-07","Northern Africa","Egypt",0
"528","2020-02-08","Northern Africa","Egypt",0
"529","2020-02-09","Northern Africa","Egypt",0
"530","2020-02-10","Northern Africa","Egypt",0
"531","2020-02-11","Northern Africa","Egypt",0
"532","2020-02-12","Northern Africa","Egypt",0
"533","2020-02-13","Northern Africa","Egypt",0
"534","2020-02-14","Northern Africa","Egypt",1
"535","2020-02-15","Northern Africa","Egypt",0
"536","2020-02-16","Northern Africa","Egypt",0
"537","2020-02-17","Northern Africa","Egypt",0
"538","2020-02-18","Northern Africa","Egypt",0
"539","2020-02-19","Northern Africa","Egypt",0
"540","2020-02-20","Northern Africa","Egypt",0
"541","2020-02-21","Northern Africa","Egypt",0
"542","2020-02-22","Northern Africa","Egypt",0
"543","2020-02-23","Northern Africa","Egypt",0
"544","2020-02-24","Northern Africa","Egypt",0
"545","2020-02-25","Northern Africa","Egypt",0
"546","2020-02-26","Northern Africa","Egypt",0
"547","2020-02-27","Northern Africa","Egypt",0
"548","2020-02-28","Northern Africa","Egypt",0
"549","2020-02-29","Northern Africa","Egypt",0
"550","2020-03-01","Northern Africa","Egypt",1
"551","2020-03-02","Northern Africa","Egypt",0
"552","2020-03-03","Northern Africa","Egypt",0
"553","2020-03-04","Northern Africa","Egypt",0
"554","2020-03-05","Northern Africa","Egypt",1
"555","2020-03-06","Northern Africa","Egypt",12
"556","2020-03-07","Northern Africa","Egypt",33
"557","2020-03-08","Northern Africa","Egypt",7
"558","2020-03-09","Northern Africa","Egypt",4
"559","2020-03-10","Northern Africa","Egypt",0
"560","2020-03-11","Northern Africa","Egypt",7
"561","2020-03-12","Northern Africa","Egypt",13
"562","2020-03-13","Northern Africa","Egypt",14
"563","2020-03-14","Northern Africa","Egypt",0
"564","2020-03-15","Northern Africa","Egypt",33
"565","2020-03-16","Northern Africa","Egypt",40
"566","2020-03-17","Northern Africa","Egypt",30
"567","2020-03-18","Northern Africa","Egypt",14
"568","2020-03-19","Northern Africa","Egypt",46
"569","2020-03-20","Northern Africa","Egypt",29
"570","2020-03-21","Northern Africa","Egypt",9
"571","2020-03-22","Northern Africa","Egypt",33
"572","2020-03-23","Northern Africa","Egypt",39
"573","2020-03-24","Northern Africa","Egypt",36
"574","2020-03-25","Northern Africa","Egypt",54
"575","2020-03-26","Northern Africa","Egypt",39
"576","2020-03-27","Northern Africa","Egypt",41
"577","2020-03-28","Northern Africa","Egypt",40
"578","2020-03-29","Northern Africa","Egypt",33
"579","2020-03-30","Northern Africa","Egypt",47
